Marka,Seri,Model,Başlik,Yakit,Vites,Kilometre,Yil,Price;
Renault,Symbol,1.0 Joy,ORJİNAL 11.000 KM DE ! 2019 MODEL GARANTİLİ YAKIT CİMRİSİ SEMBOL,Benzin,Manuel,11.000,2019,68.000 TL;
Hyundai,Getz,1.3 GLS,BORZ MOTOR'DAN TÜRKİYE'DE TEK 66.000 KM ! HYUNDAİ GETZ+MAVİ RENK,Benzin,Manuel,66.000,2005,47.900 TL;
Opel,Corsa,1.2 Swing,ÇOK TEMİZ YAKIT CİMRİSİ OPEL CORSA,Benzin,Manuel,230.000,2000,25.500 TL;
Peugeot,107,1.0 Trendy,2008 MODEL PEUGEOT 107 TRENDY,Benzin,Manuel,90.000,2008,44.750 TL;
Seat,Leon,1.4 TSI FR,2015 SEAT LEON 1.4TSİ FR 140 HP CAM TAVAN LED FAR 79KM MASRAFSIZ,Benzin,Manuel,79.000,2015,118.000 TL;
Volkswagen,Jetta,1.2 TSI Comfortline,DAĞLIOĞLU'dan ÖZEL SERİ HATASIZ BOYASIZ JETTA,Benzin,Manuel,142.000,2011,112.000 TL;
Ford,Focus,1.6 Ti-VCT Trend X,HATASIZ 2017 FOCUS 112.500 km,Benzin,Manuel,112.500,2017,119.000 TL;
Nissan,Micra,1.2 Tekna,Mass Car 2008 Model Nissan Micra 1.2 Tekna 103.000 Km Değişensiz,Benzin,Manuel,103.000,2008,63.900 TL;
Seat,Leon,1.4 TSI FR,Cam Tavanlı LEON FR Hatasız FULL+FULL,Benzin,Manuel,155.000,2013,142.000 TL;
Opel,Astra,1.4 T Edition Plus,2019 ASTRA LÜLEBURGAZ HÜSEYİN GÖLGE BEYE HAYIRLI OLSUN,Benzin,Manuel,1.465,2019,128.900 TL;
Renault,Megane,1.6 Joy,2017 MEGANE IV 1.6 16 V 115 HP 30.BİN KM BOYASIZ MBD AUTO,Benzin,Manuel,32.000,2017,125.500 TL;
Hyundai,i20,1.2 MPI Style,ERE GARAJ HYUNDAİ İ20 HATASIZ BOYASIZ,Benzin,Manuel,100.000,2015,88.500 TL;
"Ford,Fiesta,1.25 Trend X,""İLK SAHİBİNDEN HATASIZ 1,25 FİESTA"",Benzin,Manuel,63.000,2016,87.000 TL";
Renault,Clio,1.2 Joy Plus,Hatasız clio 1.2 Joy plus,Benzin,Manuel,34.000,2018,85.000 TL;
Volkswagen,Jetta,1.2 TSI BlueMotion Highline,2013 JETTA HİGLİNE SUNROF LED AKILLI FAR 85.000 KM DE EŞSİZ TEMZ,Benzin,Manuel,85.000,2013,126.500 TL;
Dacia,Sandero,1.0 Ambiance,2019 MODEL SANDERO 1'0 MOTOR ORJINAL BOYASIZ 0532 664 75 64,Benzin,Manuel,23.777,2019,74.750 TL;
Renault,Megane,1.6 Joy,2018 115 BG HIZ SABTLEME GÖRÜŞ PAKET SİS FAR YOKUŞ DESTK BOYASIZ,Benzin,Manuel,23.000,2018,116.500 TL;
BMW,3 Serisi,320i,TEMİZ BMW 3.20i TAKAS OLUR,Benzin,Manuel,265.000,1995,43.500 TL;
